Player,Team,Role,Matched_Player,Suggested_Match,Match_Type,Runs,Wkts,Batting_Points,Bowling_Points,Points,snapshot_time
MS Dhoni,NIRAV11,BAT,,abhinandan singh,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Rishabh Pant,NIRAV11,BAT,rishabh pant,,exact/alias,85,0,85,0,85,2026-04-10T18:01:28.621713+00:00
Travis Head,NIRAV11,BAT,travis head,,exact/alias,64,0,64,0,64,2026-04-10T18:01:28.621713+00:00
jitesh sharma,NIRAV11,BAT,jitesh sharma,,exact/alias,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
rajat patidar,NIRAV11,BAT,rajat patidar,,exact/alias,79,0,79,0,79,2026-04-10T18:01:28.621713+00:00
Dewald Brevis,NIRAV11,BAT,,nandre burger,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
kartik sharma,NIRAV11,BAT,kartik sharma,,exact/alias,25,0,25,0,25,2026-04-10T18:01:28.621713+00:00
Naman Dhir,NIRAV11,BAT,naman dhir,,exact/alias,58,0,58,0,58,2026-04-10T18:01:28.621713+00:00
Cameron Green,NIRAV11,AR,cameron green,,exact/alias,56,1,56,20,76,2026-04-10T18:01:28.621713+00:00
Akeal Hosein,NIRAV11,AR,,jamie overton,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Anukul Roy,NIRAV11,AR,anukul roy,,exact/alias,0,3,0,60,60,2026-04-10T18:01:28.621713+00:00
Mohammed Siraj,NIRAV11,BOWL,mohammed siraj,,exact/alias,0,2,0,40,40,2026-04-10T18:01:28.621713+00:00
Mohsin Khan,NIRAV11,BOWL,mohsin khan,,exact/alias,0,1,0,20,20,2026-04-10T18:01:28.621713+00:00
Brydon Carse,NIRAV11,BOWL,,riyan parag,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Mayank Markande,NIRAV11,BOWL,mayank markande,,exact/alias,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Umran Malik,NIRAV11,BOWL,,eshan malinga,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Ishan Kishan,MEET11,BAT,ishan kishan,,exact/alias,95,0,95,0,95,2026-04-10T18:01:28.621713+00:00
Shubman Gill,MEET11,BAT,shubman gill,,exact/alias,109,0,109,0,109,2026-04-10T18:01:28.621713+00:00
Ajinkya Rahane,MEET11,BAT,ajinkya rahane,,exact/alias,124,0,124,0,124,2026-04-10T18:01:28.621713+00:00
vaibhav suryavanshi,MEET11,BAT,vaibhav suryavanshi,,exact/alias,122,0,122,0,122,2026-04-10T18:01:28.621713+00:00
ramandeep singh,MEET11,BAT,ramandeep singh,,exact/alias,14,0,14,0,14,2026-04-10T18:01:28.621713+00:00
